City_ID,City,Country,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Tiksi,RU,71.6872,128.8694,22.19,84,100,16.22,overcast clouds
154,Hamilton,US,39.1834,-84.5333,57.88,66,0,3.74,clear sky
155,Pipri,IN,19.8,75.5333,74.88,74,98,8.97,overcast clouds
156,Grindavik,IS,63.8424,-22.4338,43.27,81,75,31.07,broken clouds
157,Gautier,US,30.3858,-88.6117,69.89,92,88,4.29,overcast clouds
158,Zyryanka,RU,65.75,150.85,25.57,65,100,25.03,overcast clouds
159,Harper,LR,4.375,-7.7169,76.41,91,100,6.89,overcast clouds
160,Upernavik,GL,72.7868,-56.1549,20.03,79,88,5.19,overcast clouds
161,Cherskiy,RU,68.75,161.3,28.24,59,9,9.75,clear sky
162,Parfino,RU,57.9731,31.6481,41.76,94,100,3.18,overcast clouds
163,Vanavara,RU,60.34,102.2797,29.37,68,48,9.15,scattered clouds
164,Verkhniy Avzyan,RU,53.5289,57.5372,34.48,54,100,2.91,overcast clouds
165,Kavieng,PG,-2.5744,150.7967,85.01,65,67,17.13,broken clouds
166,Hermanus,ZA,-34.4187,19.2345,51.8,76,68,4.9,broken clouds
167,Longyearbyen,SJ,78.2186,15.6401,37.24,75,40,16.11,scattered clouds
168,San Vicente,AR,-26.6167,-54.1333,55.08,86,0,3.11,clear sky
169,Nome,US,64.5011,-165.4064,48.16,80,71,10.02,broken clouds
170,Roald,NO,62.5833,6.1333,51.1,81,20,11.5,few clouds
171,Bengkulu,ID,-3.8004,102.2655,79.05,79,100,3.53,overcast clouds
172,Porto Novo,BJ,6.4965,2.6036,75.58,93,33,4.47,scattered clouds
173,Sisimiut,GL,66.9395,-53.6735,28.92,73,6,8.25,clear sky
174,Iqaluit,CA,63.7506,-68.5145,32.7,100,100,4.92,overcast clouds
175,Camopi,GF,3.1655,-52.3158,72.77,93,35,3.27,scattered clouds
176,Pangnirtung,CA,66.1451,-65.7125,33.76,68,100,5.37,overcast clouds
177,Thompson,CA,55.7435,-97.8558,45.97,55,42,3.04,scattered clouds
178,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,71.96,29,0,11.25,clear sky
179,Vila Velha,BR,-20.3297,-40.2925,68.95,93,100,3.0,heavy intensity rain
180,Yellowknife,CA,62.456,-114.3525,35.56,64,2,11.99,clear sky
181,Pabrade,LT,55.0,25.7833,45.25,97,95,7.05,overcast clouds
182,Sakakah,SA,29.9697,40.2064,77.22,16,18,5.48,few clouds
183,Partapur,IN,23.6,74.1667,79.2,57,86,3.65,overcast clouds
184,Clyde River,CA,70.4692,-68.5914,25.03,93,100,18.41,light snow
185,Mahebourg,MU,-20.4081,57.7,67.24,72,92,10.89,overcast clouds
186,Nanortalik,GL,60.1432,-45.2371,38.68,96,100,26.11,light rain
187,Pisco,PE,-13.7,-76.2167,59.02,83,1,2.8,clear sky
188,Ilebo,CD,-4.3167,20.5833,69.03,97,67,1.1,broken clouds
189,Asfi,MA,32.2994,-9.2372,68.4,78,41,7.54,scattered clouds
190,Pontianak,ID,-0.0333,109.3333,78.78,94,20,4.61,few clouds
191,Zhanaozen,KZ,43.3,52.8,56.3,18,0,17.56,clear sky
192,Tzaneen,ZA,-23.8332,30.1635,64.83,86,100,5.06,overcast clouds
193,Hofn,IS,64.2539,-15.2082,45.34,78,100,5.66,overcast clouds
194,Katsuura,JP,35.1333,140.3,75.22,84,100,21.54,overcast clouds
195,Piacabucu,BR,-10.4056,-36.4344,73.6,79,23,8.61,few clouds
196,Ulladulla,AU,-35.35,150.4667,58.1,82,100,13.6,moderate rain
197,Mitsamiouli,KM,-11.3847,43.2844,74.8,82,17,9.69,light rain
198,Kuito,AO,-12.3833,16.9333,60.22,65,5,4.32,clear sky
199,Shingu,JP,33.7333,135.9833,77.04,81,83,3.98,broken clouds
200,Panjab,AF,34.388,67.0233,40.05,35,0,4.45,clear sky
201,Galle,LK,6.0367,80.217,79.32,85,100,12.21,light rain
202,Dire,ML,12.2833,-10.9667,75.02,94,45,2.51,scattered clouds
203,Ngunguru,NZ,-35.6167,174.5,62.26,58,100,15.17,overcast clouds
204,Antofagasta,CL,-23.65,-70.4,55.89,79,53,3.8,broken clouds
205,Sagaing,MM,21.8787,95.9797,80.78,83,20,3.44,few clouds
206,Arraial Do Cabo,BR,-22.9661,-42.0278,68.58,87,100,5.66,overcast clouds
207,Fukue,JP,32.6881,128.8419,73.76,73,100,16.93,overcast clouds
208,Kamaishi,JP,39.2667,141.8833,61.81,61,91,4.21,light rain
209,Ashland,US,40.8167,-82.2665,48.87,72,4,4.14,clear sky
210,Solnechnyy,RU,50.7214,136.6319,36.91,41,30,11.25,scattered clouds
211,Deputatskiy,RU,69.3,139.9,11.39,90,73,1.83,broken clouds
212,Belyy Yar,RU,53.6039,91.3903,28.29,86,100,4.47,overcast clouds
213,Mayo,US,38.8876,-76.5119,52.21,95,100,5.99,light rain
214,Palmer,US,42.1584,-72.3287,54.63,85,100,11.5,heavy intensity rain
215,Novoagansk,RU,61.9449,76.6625,34.41,93,99,7.85,overcast clouds
216,Pacific Grove,US,36.6177,-121.9166,71.02,90,100,13.0,mist
217,Muncar,ID,-8.4333,114.3333,81.34,74,84,6.49,broken clouds
218,Aden,YE,12.7794,45.0367,84.94,77,92,8.95,overcast clouds
219,Madimba,TZ,-10.4,40.3333,72.09,86,73,4.83,broken clouds
220,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,91,41,14.27,scattered clouds
221,Tartus,SY,34.889,35.8866,74.48,72,31,1.45,scattered clouds
222,Denia,ES,38.8408,0.1057,70.75,89,92,1.99,overcast clouds
223,Nizhniy Kuranakh,RU,58.8353,125.4869,28.17,83,100,12.12,light snow
224,Bilibino,RU,68.0546,166.4372,25.68,66,56,5.77,broken clouds
225,Ayan,RU,56.45,138.1667,34.09,45,96,23.04,overcast clouds
226,Karpogory,RU,64.0019,44.4451,43.05,98,93,5.06,overcast clouds
227,Wiarton,CA,44.7407,-81.1332,50.97,74,11,2.44,few clouds
228,Tuatapere,NZ,-46.1333,167.6833,37.27,78,100,21.34,light rain
229,Mahibadhoo,MV,3.7833,72.9667,81.79,76,100,16.42,overcast clouds
230,Qasigiannguit,GL,68.8193,-51.1922,32.25,81,8,5.23,clear sky
231,Hami,CN,42.8,93.45,55.42,52,100,3.89,overcast clouds
232,La Rioja,ES,42.25,-2.5,46.18,51,0,5.75,clear sky
233,Ilulissat,GL,69.2167,-51.1,32.02,47,17,3.44,few clouds
234,Maple Creek,CA,49.9168,-109.4848,64.15,44,12,5.66,few clouds
235,Pevek,RU,69.7008,170.3133,27.61,73,83,6.73,broken clouds
236,Pathankot,IN,32.2833,75.65,72.32,64,0,4.18,clear sky
